Animal Number,Group Number,Device Name,Days In Milk,Lactation Number,Date,Begin Time,End Time,Milk duration (mm:ss),Yield,Yield LF,Yield LR,Yield RF,Yield RR,Expected Yield/Hour LR,Expected Yield/Hour RF,Expected Yield/Hour RR,Expected Yield/Hour LF,Interval,Last Milking Interval,Conductivity RR,Conductivity RF,Conductivity LR,Conductivity LF,Total Conductivity,Mean Flow LR,Mean Flow LF,Mean Flow RR,Mean Flow RF,Peak Flow LF,Peak Flow LR,Peak Flow RF,Peak Flow RR,MDi,Kickoff LF,Kickoff LR,Kickoff RF,Kickoff RR,Blood RF,Blood RR,Blood LF,Blood LR,Total Blood,Teats Not Found,Smart Pulsation Ratio,Incomplete
8112,1,VMS 2 Ethel,18,2,4/12/2021,4/12/2021 9:27 AM,9:40 AM,12:16,39.82,9.30,11.99,8.58,9.94,0.00,0.00,0.00,0.00,00:00:00,,4.42,4.41,4.38,4.35,17.55,2.25,1.72,1.46,1.85,2.65,2.91,2.51,2.51,1.0,Unchecked,Unchecked,Unchecked,Unchecked,0,0,0,0,0,,65,
7704,1,VMS 2 Ethel,19,3,4/12/2021,4/12/2021 9:50 AM,9:56 AM,06:43,7.72,1.94,2.62,0.93,2.23,0.00,0.00,0.00,0.00,00:00:00,,4.55,4.74,4.51,4.41,18.22,1.59,1.46,1.72,0.79,2.25,2.78,2.12,2.78,1.0,Unchecked,Unchecked,Unchecked,Unchecked,0,0,0,0,0,,70,
7716,1,VMS 2 Ethel,21,3,4/12/2021,4/12/2021 10:01 AM,10:12 AM,11:03,31.46,7.58,8.05,7.54,8.29,0.00,0.00,0.00,0.00,00:00:00,,4.42,4.47,4.38,4.48,17.75,2.38,1.85,2.12,2.38,2.78,3.17,3.44,3.04,1.0,Unchecked,Unchecked,Unchecked,Unchecked,0,0,0,384,384,,60,
8285,1,VMS 2 Ethel,15,2,4/12/2021,4/12/2021 10:17 AM,10:28 AM,10:55,28.55,8.51,1.81,8.82,9.41,0.00,0.00,0.00,0.00,00:00:00,,4.29,4.34,4.58,4.28,17.49,2.51,2.91,2.65,3.04,3.97,3.57,4.50,4.50,1.2,Unchecked,Unchecked,Unchecked,Unchecked,0,0,0,1384,1384,,65,
7668,1,VMS 2 Ethel,19,3,4/12/2021,4/12/2021 10:35 AM,10:41 AM,06:01,10.78,2.43,3.11,1.72,3.53,0.00,0.00,0.00,0.00,00:00:00,,4.49,5.81,4.71,4.48,19.50,3.17,1.59,2.65,1.59,2.51,4.37,2.78,3.84,1.4,Unchecked,Unchecked,Unchecked,Unchecked,0,0,0,0,0,,60,
7667,1,VMS 2 Ethel,85,3,4/11/2021,4/11/2021 9:23 AM,9:30 AM,06:33,11.09,0.86,1.52,0.73,7.98,1.47,1.15,1.40,1.03,00:00:36,00:07:09,4.78,2.95,4.05,3.75,15.53,1.19,1.46,3.04,0.53,2.51,2.51,1.46,4.10,1.4,Unchecked,Unchecked,Unchecked,Unchecked,0,0,0,0,0,,70,
7759,1,VMS 2 Ethel,12,3,4/8/2021,4/8/2021 3:10 PM,3:18 PM,08:23,7.56,0.82,5.56,0.75,0.44,1.36,1.36,1.10,1.40,00:01:29,00:09:52,3.28,3.48,4.40,3.69,14.85,3.04,0.66,0.66,0.79,1.85,4.10,1.98,1.46,1.2,Unchecked,Unchecked,Unchecked,Unchecked,0,0,0,0,0,,65,RR
8178,1,VMS 2 Ethel,95,2,4/10/2021,4/10/2021 10:58 PM,11:05 PM,06:35,23.35,6.08,5.20,5.91,6.15,0.86,0.96,1.00,0.98,00:05:07,00:11:42,4.05,4.30,3.87,4.19,16.41,2.38,3.84,2.78,3.31,5.82,3.17,4.23,3.84,1.1,Unchecked,Unchecked,Unchecked,Unchecked,0,0,0,0,0,,74,
18075,1,VMS 1 Fred,276,2,4/6/2021,4/6/2021 4:33 AM,4:39 AM,05:17,27.21,7.05,7.74,4.67,7.74,1.21,0.84,1.27,1.07,00:20:20,00:25:37,4.41,4.23,4.47,4.31,17.42,2.91,2.65,2.91,2.51,3.70,4.23,3.31,3.97,1.0,Unchecked,Unchecked,Unchecked,Unchecked,0,0,0,0,0,,60,
7514,1,VMS 1 Fred,181,3,4/6/2021,4/6/2021 5:55 AM,6:03 AM,08:10,39.82,5.58,12.72,7.85,13.67,1.62,0.95,1.91,0.70,01:04:48,01:12:58,4.82,4.97,5.00,5.38,20.17,2.78,1.98,2.78,2.38,3.17,3.70,3.44,3.84,1.2,Unchecked,Unchecked,Unchecked,Unchecked,0,0,0,0,0,,74,
