id,lactnum,dinmilk,datehosp,teat,trtflag,cultflag,mastflag,culttype,datehosp2,trtremast
96,2,115,2021-06-14,LF,1,1,1,GN,2021-06-17,SPECT5LF
28342,8,,2021-05-05,,0,0,0,NG,,
29581,6,,2021-05-02,,0,0,0,NG,,
31453,6,95,2021-05-06,LR,1,1,1,GP,,
31453,6,105,2021-05-16,LR,1,1,1,GP,,
32177,6,145,2021-05-13,RF,0,0,0,NG,,
32177,6,175,2021-06-12,RR,0,0,0,NG,,
33258,6,81,2021-04-26,RF,0,0,0,NG,,
33678,6,22,2021-04-10,LF,1,1,1,GN,,
33902,4,,2021-04-06,,1,1,1,GN,,
34222,5,28,2021-05-01,LR,0,0,0,NG,,
34409,5,122,2021-04-11,LF,0,0,0,NG,,
34715,5,284,2021-04-16,RR,0,0,0,NG,,
34794,4,282,2021-04-12,RR,1,1,1,GP,,
34829,5,174,2021-05-04,BLOOD,0,0,0,NG,,
34856,5,145,2021-05-27,LF,1,1,1,GP,,
35056,5,252,2021-04-20,RR,0,0,0,NG,,
35160,5,124,2021-04-23,LF,0,0,0,NG,,
35215,5,111,2021-04-08,RR,0,0,0,NG,,
35215,5,149,2021-05-16,LR,1,1,1,GP,,
35437,5,100,2021-04-25,RF,0,0,0,NG,,
35553,5,77,2021-05-22,RF,1,1,1,GN,,
35753,5,55,2021-07-07,RF,0,0,0,NG,,
35860,5,,2021-06-07,,0,0,0,NG,,
36008,5,92,2021-06-05,LR,0,0,0,NG,,
36168,5,168,2021-05-09,RF,0,0,0,NG,2021-05-12,SPECT5RF
36189,4,298,2021-05-27,LR,1,1,1,GP,,
36426,4,267,2021-06-29,LF,0,0,0,NG,,
36461,4,264,2021-04-25,LF,1,1,1,GP,,
36497,4,164,2021-04-29,RF,1,1,1,MX,2021-05-02,SPECT5
36641,4,93,2021-04-15,LF,0,0,0,NG,,
36641,4,115,2021-05-07,LR,0,0,0,NG,,
36641,4,152,2021-06-13,LF,0,0,0,NG,,
36643,4,,2021-04-23,,1,1,1,MX,,
36650,4,320,2021-05-31,RF,0,0,0,NG,,
36790,4,227,2021-05-23,RF,1,1,1,GN,,
36843,4,191,2021-04-29,RR,1,1,1,GP,,
37091,4,147,2021-05-14,RF,0,0,0,NG,,
37149,4,196,2021-04-09,RR,1,1,1,GP,,
37163,4,251,2021-05-08,RR,0,0,0,NG,,
37187,4,,2021-04-06,,0,0,0,NG,,
37257,4,133,2021-04-13,BLOOD,0,0,0,NG,,
37275,4,171,2021-05-06,LR,1,1,1,GP,2021-05-09,SPECT5LR
37275,4,207,2021-06-11,LR,0,0,0,NG,2021-05-09,SPECT5LR
37475,4,186,2021-04-08,LF,0,0,0,NG,,
37579,4,80,2021-05-04,RR,1,1,1,GN,,
37637,4,139,2021-04-19,RF,0,0,0,NG,,
37659,4,174,2021-05-16,RR,1,1,1,MX,,
37696,4,90,2021-04-24,LF,1,1,1,GN,,
37696,4,109,2021-05-13,LF,1,1,1,GN,,
37711,4,,2021-04-06,,1,1,1,GP,,
37814,4,217,2021-06-30,LR,1,1,1,GP,,
37880,4,268,2021-04-10,RF,0,0,0,NG,,
38045,4,184,2021-04-20,LF,1,1,1,GP,2021-04-23,SPECT5LF
38215,4,58,2021-04-12,RR,1,1,1,GP,,
38338,4,,2021-05-24,,0,0,0,NG,,
38338,4,117,2021-07-01,LF,1,1,1,MX,,
38458,3,280,2021-06-09,RF,0,1,0,GN,,
38459,4,100,2021-04-27,LF,0,0,0,NG,2021-05-10,SPECT5RF
38459,4,110,2021-05-07,RF,1,1,1,GP,2021-05-10,SPECT5RF
38459,4,140,2021-06-06,LR,0,0,0,NG,2021-05-10,SPECT5RF
38676,3,86,2021-04-13,RF,1,1,1,GN,,
38694,3,121,2021-04-19,LR,0,0,0,NG,,
38792,4,131,2021-05-02,LR,0,0,0,NG,,
38799,4,209,2021-06-24,BLOOD,1,1,1,GP,2021-06-27,SPECT5LR
38914,4,55,2021-04-23,LR,0,0,0,NG,,
39046,4,129,2021-05-14,LR,0,0,0,NG,2021-05-05,SPECT5LR
39197,3,306,2021-05-07,RF,0,0,0,NG,,
39237,3,101,2021-04-16,RF,0,0,0,NG,,
39350,3,282,2021-05-13,LF,1,1,1,GP,,
39424,3,239,2021-06-16,BLOOD,0,0,0,NG,,
39434,3,,2021-04-06,,0,0,0,NG,,
39636,3,162,2021-04-20,RF,1,1,1,GP,,
39638,3,199,2021-04-30,RR,1,1,1,GP,,
39707,4,87,2021-06-10,RF,1,1,1,GP,,
40072,3,251,2021-07-04,LF,0,0,0,NG,,
