ID,LACT,FDAT,DIM,Date,HOSPM,Quarter,Dateok,MAST,Trt_MAST,Trt_dec,TRT,CULTURE,CULT_res,CULT_type,REMAST,Trt_REMAST
84,3,3/28/2021,,,,,4/26/2021,MAST,SPECT3LF,SPECT,1,,,,,
84,3,3/28/2021,,,,,5/6/2021,,,,,,,,REMAST,SPECT5LF
96,2,2/19/2021,115,6/14/2021,HOSPM,LF,6/14/2021,MAST,SP5LF,SP5LF,1,CULTURE,GNLF,GN,,
96,2,2/19/2021,,,,,6/17/2021,,,,,,,,REMAST,SPECT5LF
96,2,2/19/2021,123,6/22/2021,HOSPM,RECULTUR,6/22/2021,,,,,CULTURE,NG,NG,,
28342,8,5/1/2021,,,,,5/5/2021,MAST,NOTXTO,NOTXT,0,CULTURE,NG,NG,,
28342,8,5/1/2021,5,5/6/2021,HOSPM,RF,5/6/2021,,,,,,,,,
29581,6,6/23/2020,,,,,5/2/2021,MAST,NOTXTO,NOTXT,0,CULTURE,NG,NG,,
29581,6,6/23/2020,314,5/3/2021,HOSPM,LF,5/3/2021,,,,,,,,,
31453,6,1/31/2021,95,5/6/2021,HOSPM,LR,5/6/2021,MAST,SPCT3LR,SPCT3,1,CULTURE,GPLR,GP,,
31453,6,1/31/2021,105,5/16/2021,HOSPM,LR,5/16/2021,MAST,SPCT3LR,SPCT3,1,CULTURE,GPLR,GP,,
32177,6,12/19/2020,145,5/13/2021,HOSPM,RF,5/13/2021,MAST,NOTXTO,NOTXT,0,CULTURE,NGRF,NG,,
32177,6,12/19/2020,175,6/12/2021,HOSPM,RR,6/12/2021,MAST,NOTXTO,NOTXT,0,CULTURE,NG,NG,,
32177,6,12/19/2020,180,6/17/2021,HOSPM,RR,6/17/2021,,,,,CULTURE,NG,NG,,
33258,6,2/4/2021,81,4/26/2021,HOSPM,RF,4/26/2021,MAST,NOTXTO,NOTXT,0,CULTURE,NGRF,NG,,
33671,5,2/20/2021,128,6/28/2021,HOSPM,LF,6/28/2021,,,,,CULTURE,GPLF,GP,,
33678,6,3/19/2021,22,4/10/2021,HOSPM,LF,4/10/2021,MAST,SP5LF,SP5LF,1,CULTURE,GNLF,GN,,
33902,4,2/22/2020,,,,,4/6/2021,MAST,SP5,SP5,1,CULTURE,GNLR,GN,,
34222,5,4/3/2021,28,5/1/2021,HOSPM,LR,5/1/2021,MAST,NOTXTOLR,NOTXT,0,CULTURE,NGLR,NG,,
34409,5,12/10/2020,122,4/11/2021,HOSPM,LF,4/11/2021,MAST,NOTXTOLF,NOTXT,0,CULTURE,NGLF,NG,,
34576,5,6/15/2021,1,6/16/2021,HOSPM,BLOOD,6/16/2021,,,,,,,,,
