"ID","LACT","FDAT","DIM","Date","HOSPM","Quarter","Dateok","MAST","Trt_MAST","Trt_dec","TRT","CULTURE","CULT_res","CULT_type","REMAST","Trt_REMAST"
7,1,09/04/2020,171,02/22/2021,HOSPM,RF,02/22/2021,MAST,NOTXTORF,NOTXT,0,CULTURE,NGRF,NG,,
38,4,09/24/2020,157,02/28/2021,HOSPM,RR,02/28/2021,MAST,SPCT3RR,SPCT3,1,CULTURE,GPRR,GP,,
86,2,07/26/2020,242,03/25/2021,HOSPM,LF,03/25/2021,MAST,SPCT3LF,SPCT3,1,CULTURE,GPLF,GP,,
27996,7,07/29/2020,181,01/26/2021,HOSPM,RF,01/26/2021,MAST,SPCT3RF,SPCT3,1,CULTURE,GPRF,GP,,
27996,7,07/29/2020,,,,,01/29/2021,,,,,,,,REMAST,SPECT5RF
27996,7,07/29/2020,196,02/10/2021,HOSPM,RF,02/10/2021,MAST,SPCT3RF,SPCT3,1,CULTURE,GPRF,GP,,
30042,7,12/27/2020,78,03/15/2021,HOSPM,RF,03/15/2021,MAST,NOTXTORF,NOTXT,0,CULTURE,NGRF,NG,,
31288,6,07/18/2020,181,01/15/2021,HOSPM,LF,01/15/2021,,,,,CULTURE,MXLF,MX,,
31453,6,01/31/2021,2,02/02/2021,HOSPM,BLOOD,02/02/2021,,,,,,,,,
32610,6,02/19/2021,16,03/07/2021,HOSPM,LR,03/07/2021,MAST,SPCT3LR,SPCT3,1,CULTURE,GPLR,GP,,
32837,6,10/18/2020,98,01/24/2021,HOSPM,RR,01/24/2021,,,,,CULTURE,GPRR,GP,,
32878,6,03/19/2021,12,03/31/2021,HOSPM,LR,03/31/2021,MAST,NOTXTO,NOTXT,0,CULTURE,NG,NG,,
33083,5,04/18/2020,336,03/20/2021,HOSPM,BLOOD,03/20/2021,MAST,NOTXTOLR,NOTXT,0,CULTURE,NGLR,NG,,
33083,5,04/18/2020,349,04/02/2021,HOSPM,LR,04/02/2021,MAST,NOTXTOLR,NOTXT,0,CULTURE,NGLR,NG,,
33216,6,12/02/2020,71,02/11/2021,HOSPM,RF,02/11/2021,MAST,SPCT3RF,SPCT3,1,CULTURE,GNRF.,GN,,
33216,6,12/02/2020,,,,,02/14/2021,,,,,,,,REMAST,SPECT5RF
33216,6,12/02/2020,,,,,02/22/2021,,,,,,,,REMAST,SPECT5RF
33492,5,07/31/2020,175,01/22/2021,HOSPM,RR,01/22/2021,MAST,SPCT3RR,SPCT3,1,CULTURE,GPRR,GP,,
33492,5,07/31/2020,226,03/14/2021,HOSPM,RR,03/14/2021,,,,,,,,,
33559,5,07/29/2020,191,02/05/2021,HOSPM,RR,02/05/2021,MAST,NOTXTORR,NOTXT,0,CULTURE,NGRR,NG,,
33671,5,02/20/2021,20,03/12/2021,HOSPM,LF,03/12/2021,MAST,SPCT3LF,SPCT3,1,CULTURE,GNLF,GN,,
33671,5,02/20/2021,,,,,03/15/2021,,,,,,,,REMAST,SPECT5
33671,5,02/20/2021,36,03/28/2021,HOSPM,LF,03/28/2021,MAST,SPCT3LF,SPCT3,1,CULTURE,GPLF,GP,,
33671,5,02/20/2021,,,,,03/31/2021,,,,,,,,REMAST,SPECT5LF
33739,5,02/06/2021,25,03/03/2021,HOSPM,RR,03/03/2021,MAST,SPCT3RR,SPCT3,1,CULTURE,GPRR,GP,,
33876,5,01/15/2021,66,03/22/2021,HOSPM,RF,03/22/2021,,,,,CULTURE,GPRF,GP,,
33876,5,01/15/2021,,,,,03/23/2021,MAST,SPCT3RF,SPCT3,1,,,,,
33893,5,09/11/2020,158,02/16/2021,HOSPM,RF,02/16/2021,MAST,SPCT3RF,SPCT3,1,CULTURE,GPRF,GP,,
33902,4,02/22/2020,409,04/06/2021,HOSPM,LR,04/06/2021,MAST,SP5,SP5,1,CULTURE,GNLR,GN,,
33919,5,01/03/2021,38,02/10/2021,HOSPM,RR,02/10/2021,MAST,SPCT3RR,SPCT3,1,CULTURE,GPRR,GP,,
33919,5,01/03/2021,,,,,02/13/2021,,,,,,,,REMAST,SPECT5RR
33950,5,10/17/2020,135,03/01/2021,HOSPM,RR,03/01/2021,MAST,NOTXTO,NOTXT,0,CULTURE,NGRR,NG,,
34172,5,08/26/2020,147,01/20/2021,HOSPM,LF,01/20/2021,MAST,SPCT3LF,SPCT3,1,CULTURE,GNLF,GN,,
34368,5,02/08/2021,50,03/30/2021,HOSPM,LR,03/30/2021,,,,,,,,,
34394,5,07/20/2020,246,03/23/2021,HOSPM,LR,03/23/2021,MAST,NOTXTOLR,NOTXT,0,CULTURE,NGLR,NG,,
34409,5,12/10/2020,29,01/08/2021,HOSPM,LF,01/08/2021,MAST,SPCT3LF,SPCT3,1,CULTURE,GPLF,GP,,
34409,5,12/10/2020,82,03/02/2021,HOSPM,LF,03/02/2021,MAST,NOTXTO,NOTXT,0,CULTURE,NGLF,NG,,
34493,5,07/13/2020,222,02/20/2021,HOSPM,LR,02/20/2021,MAST,NOTXTOLR,NOTXT,0,CULTURE,NGLR,NG,,
34493,5,07/13/2020,225,02/23/2021,HOSPM,LF,02/23/2021,,,,,CULTURE,GNLF,GN,,
34493,5,07/13/2020,,,,,02/26/2021,,,,,,,,REMAST,SPECT5LF
34510,5,09/02/2020,183,03/04/2021,HOSPM,RR,03/04/2021,MAST,SPCT3RR,SPCT3,1,CULTURE,GPRR,GP,,
34715,5,07/06/2020,222,02/13/2021,HOSPM,RR,02/13/2021,MAST,SPCT3RR,SPCT3,1,CULTURE,GNRR,GN,,
34715,5,07/06/2020,261,03/24/2021,HOSPM,RR,03/24/2021,MAST,NOTXTORR,NOTXT,0,CULTURE,NGRR,NG,,
34715,5,07/06/2020,272,04/04/2021,HOSPM,RR,04/04/2021,MAST,SPCT3RR,SPCT3,1,CULTURE,GNRR,GN,,
34717,5,10/04/2020,177,03/30/2021,HOSPM,RF,03/30/2021,MAST,SPCT3RF,SPCT3,1,CULTURE,GPRF,GP,,
34786,5,09/12/2020,128,01/18/2021,HOSPM,RF,01/18/2021,MAST,SPCT3RF,SPCT3,1,CULTURE,GPRF,GP,,
34786,5,09/12/2020,,,,,01/21/2021,,,,,,,,REMAST,SPECT5RF
34791,5,10/05/2020,94,01/07/2021,HOSPM,LF,01/07/2021,MAST,NOTXTOLF,NOTXT,0,CULTURE,NGLF,NG,,
34794,4,07/04/2020,229,02/18/2021,HOSPM,LR,02/18/2021,MAST,NOTXTO,NOTXT,0,CULTURE,NGLR,NG,,
34833,5,12/21/2020,57,02/16/2021,HOSPM,LF,02/16/2021,MAST,NOTXTOLF,NOTXT,0,CULTURE,NGLF,NG,,
34833,5,12/21/2020,82,03/13/2021,HOSPM,RF,03/13/2021,MAST,NOTXTORF,NOTXT,0,CULTURE,NGRF,NG,,
34833,5,12/21/2020,98,03/29/2021,HOSPM,RF,03/29/2021,MAST,SPCT3RF,SPCT3,1,CULTURE,GPRF,GP,,
34958,5,07/03/2020,250,03/10/2021,HOSPM,LF,03/10/2021,MAST,NOTXTO,NOTXT,0,CULTURE,NG,NG,,
35031,5,08/16/2020,222,03/26/2021,HOSPM,RR,03/26/2021,,,,,CULTURE,NGRR,NG,,
35046,5,12/10/2020,93,03/13/2021,HOSPM,RR,03/13/2021,MAST,SPCT3RR,SPCT3,1,CULTURE,GNRR,GN,,
35046,5,12/10/2020,,,,,03/16/2021,,,,,,,,REMAST,SPECT5RR
35056,5,08/11/2020,175,02/02/2021,HOSPM,RR,02/02/2021,MAST,NOTXTO,NOTXT,0,CULTURE,NGRR,NG,,
35056,5,08/11/2020,203,03/02/2021,HOSPM,RR,03/02/2021,MAST,NOTXTO,NOTXT,0,CULTURE,NGRR,NG,,
35085,5,01/07/2021,62,03/10/2021,HOSPM,LF,03/10/2021,MAST,SPCT3LF,SPCT3,1,CULTURE,GNLF,GN,,
35144,5,09/04/2020,202,03/25/2021,HOSPM,LF,03/25/2021,MAST,SPCT3LF,SPCT3,1,CULTURE,GPLF,GP,,
35160,5,12/20/2020,103,04/02/2021,HOSPM,LF,04/02/2021,MAST,SPCT3LF,SPCT3,1,CULTURE,GPLF,GP,,
35161,5,10/15/2020,85,01/08/2021,HOSPM,LR,01/08/2021,MAST,SPCT3LR,SPCT3,1,CULTURE,MXLR,MX,,
35161,5,10/15/2020,,,,,01/11/2021,,,,,,,,REMAST,SPECT5LR
35161,5,10/15/2020,140,03/04/2021,HOSPM,RF,03/04/2021,MAST,SPCT3RF,SPCT3,1,CULTURE,GPRF,GP,,
35180,4,07/22/2020,249,03/28/2021,HOSPM,LR,03/28/2021,MAST,SPCT3LR,SPCT3,1,CULTURE,GNLR,GN,,
35215,5,12/18/2020,72,02/28/2021,HOSPM,LR,02/28/2021,MAST,SPCT3LR,SPCT3,1,CULTURE,GPLR,GP,,
35215,5,12/18/2020,99,03/27/2021,HOSPM,LR,03/27/2021,MAST,SPCT3LR,SPCT3,1,CULTURE,MXLR,MX,,
35228,4,09/11/2020,151,02/09/2021,HOSPM,LF,02/09/2021,MAST,SPCT3LF,SPCT3,1,CULTURE,GPLF,GP,,
35228,4,09/11/2020,158,02/16/2021,HOSPM,LF,02/16/2021,,,,,CULTURE,NGLF,NG,,
35257,5,07/27/2020,169,01/12/2021,HOSPM,LF,01/12/2021,MAST,NOTXTOLF,NOTXT,0,CULTURE,NGLF,NG,,
35316,5,11/10/2020,58,01/07/2021,HOSPM,RF,01/07/2021,MAST,SPCT3RF,SPCT3,1,CULTURE,GPRF,GP,,
35316,5,11/10/2020,,,,,01/11/2021,,,,,,,,REMAST,SPECT5RF
35316,5,11/10/2020,117,03/07/2021,HOSPM,LF,03/07/2021,MAST,SPCT3LF,SPCT3,1,CULTURE,MXLF,MX,,
35351,4,07/15/2020,198,01/29/2021,HOSPM,LF,01/29/2021,MAST,SPCT3LF,SPCT3,1,CULTURE,MXLR,MX,,
35351,4,07/15/2020,,,,,02/01/2021,,,,,,,,REMAST,SPECT5LF
35351,4,07/15/2020,209,02/09/2021,HOSPM,LF,02/09/2021,MAST,NOTXTOLF,NOTXT,0,CULTURE,NGLF,NG,,
35398,5,12/11/2020,74,02/23/2021,HOSPM,LR,02/23/2021,MAST,SPCT3LR,SPCT3,1,CULTURE,GPLR,GP,,
35429,5,10/14/2020,87,01/09/2021,HOSPM,LF,01/09/2021,,,,,CULTURE,GPLF,GP,,
35601,4,02/10/2020,327,01/02/2021,HOSPM,LF,01/02/2021,MAST,SPCT3LF,SPCT3,1,CULTURE,GPLF,GP,,
35601,4,02/10/2020,352,01/27/2021,HOSPM,LF,01/27/2021,MAST,SPCT3LF,SPCT3,1,CULTURE,GPLF,GP,,
35662,5,12/26/2020,54,02/18/2021,HOSPM,RR,02/18/2021,MAST,NOTXTO,NOTXT,0,CULTURE,NGRR,NG,,
35662,5,12/26/2020,,,,,03/08/2021,MAST,NOTXTO,NOTXT,0,CULTURE,NG,NG,,
35662,5,12/26/2020,73,03/09/2021,HOSPM,BLOOD,03/09/2021,,,,,,,,,
35808,5,01/19/2021,14,02/02/2021,HOSPM,LR,02/02/2021,MAST,NOTXTO,NOTXT,0,CULTURE,NGLR,NG,,
35808,5,01/19/2021,,,,,02/05/2021,,,,,,,,REMAST,SPECT5LR
35847,5,10/20/2020,130,02/27/2021,HOSPM,LR,02/27/2021,MAST,NOTXTOLR,NOTXT,0,CULTURE,NGLR,NG,,
36138,4,04/15/2020,324,03/05/2021,HOSPM,LR,03/05/2021,MAST,NOTXTOLR,NOTXT,0,CULTURE,NGLR,NG,,
