id,healthy,sick_days,first_day_in_milk,lactation_number
101,false,3,2021-06-27,2
109,false,20,2021-06-15,1
1207,false,13,2021-06-22,5
2344,false,19,2021-06-09,4
2356,false,15,2021-06-20,4
2371,false,11,2021-05-04,4
2420,false,14,2021-05-01,4
6667,false,13,2021-04-28,5
6761,false,13,2021-07-06,5
6787,false,29,2021-06-16,5
6869,false,18,2021-07-01,5
7081,false,22,2021-06-04,4
7136,false,16,2021-06-26,4
7155,false,17,2021-06-04,4
7168,false,16,2021-05-06,4
7249,false,17,2021-07-16,4
7273,false,13,2021-07-13,4
7331,false,22,2021-06-06,4
7348,false,11,2021-07-15,4
7353,false,15,2021-07-11,4
7369,false,15,2021-07-15,4
7371,false,17,2021-06-11,4
7446,false,16,2021-05-15,3
7473,false,11,2021-05-20,3
7592,false,16,2021-06-05,3
7712,false,24,2021-07-03,3
7713,false,10,2021-05-05,3
7734,false,12,2021-07-07,3
7744,false,11,2021-05-11,3
7747,false,11,2021-05-04,3
7750,false,16,2021-06-05,3
7758,false,17,2021-05-14,3
7766,false,19,2021-06-02,3
7771,false,13,2021-05-02,3
7778,false,11,2021-05-21,3
7791,false,15,2021-07-11,3
7794,false,19,2021-06-16,3
7796,false,13,2021-05-09,3
7808,false,14,2021-05-18,3
7834,false,12,2021-05-10,3
7836,false,12,2021-05-26,3
7841,false,16,2021-06-05,3
7883,false,12,2021-07-07,3
7896,false,15,2021-06-27,3
7901,false,12,2021-07-14,3
7902,false,12,2021-06-30,3
7984,false,21,2021-06-06,2
7988,false,19,2021-06-02,2
8084,false,23,2021-07-02,2
8085,false,15,2021-06-13,2
8095,false,16,2021-06-05,2
8163,false,17,2021-05-15,2
8169,false,13,2021-05-09,2
8173,false,17,2021-07-16,2
8177,false,13,2021-06-29,2
8184,false,12,2021-05-21,2
8190,false,14,2021-06-07,2
8192,false,14,2021-05-18,2
8198,false,11,2021-07-15,2
8199,false,12,2021-05-26,2
8203,false,13,2021-05-10,2
8211,false,17,2021-06-04,2
8244,false,11,2021-05-04,2
8252,false,15,2021-05-31,2
8257,false,17,2021-06-18,2
8258,false,15,2021-05-07,2
8262,false,13,2021-07-06,2
8264,false,10,2021-05-28,2
8266,false,19,2021-06-02,2
8267,false,13,2021-05-25,2
8274,false,15,2021-05-30,2
8277,false,20,2021-05-12,2
8281,false,14,2021-06-28,2
8283,false,15,2021-05-23,2
8295,false,19,2021-05-13,2
8299,false,19,2021-05-13,2
8301,false,14,2021-06-14,2
8303,false,15,2021-05-30,2
8308,false,17,2021-05-05,2
8322,false,14,2021-05-31,2
8325,false,16,2021-06-19,2
8329,false,14,2021-04-27,2
8334,false,16,2021-06-05,2
8346,false,15,2021-06-27,2
8353,false,12,2021-06-16,2
8368,false,10,2021-05-28,2
8370,false,10,2021-05-28,2
8375,false,15,2021-06-20,2
8376,false,12,2021-07-14,2
8381,false,14,2021-05-31,2
8382,false,12,2021-06-16,2
8394,false,12,2021-07-14,2
8405,false,12,2021-06-16,2
8406,false,14,2021-06-28,2
8428,false,15,2021-07-04,2
8430,false,15,2021-07-18,2
8450,false,17,2021-07-16,2
8465,false,16,2021-07-10,2
8471,false,17,2021-07-16,2
8477,false,16,2021-07-10,2
8498,false,11,2021-07-15,2
8502,false,17,2021-07-09,2
8549,false,15,2021-05-07,2
8687,false,14,2021-06-15,1
8700,false,15,2021-06-27,1
8728,false,18,2021-06-17,1
8763,false,16,2021-07-03,1
8776,false,24,2021-07-09,1
8779,false,20,2021-05-10,1
8801,false,15,2021-05-17,1
8815,false,30,2021-04-30,1
8826,false,14,2021-05-01,1
8828,false,11,2021-07-08,1
8845,false,26,2021-04-28,1
8846,false,18,2021-06-10,1
8850,false,24,2021-04-30,1
8857,false,16,2021-06-12,1
8868,false,13,2021-05-19,1
8869,false,16,2021-07-18,1
8875,false,18,2021-05-20,1
8877,false,18,2021-05-27,1
8882,false,17,2021-06-11,1
8889,false,22,2021-05-02,1
8892,false,17,2021-05-15,1
8898,false,16,2021-05-29,1
8906,false,15,2021-04-30,1
8907,false,15,2021-06-20,1
8908,false,19,2021-05-14,1
8909,false,11,2021-05-04,1
8911,false,13,2021-05-25,1
8912,false,13,2021-06-08,1
8914,false,15,2021-06-20,1
8916,false,12,2021-06-16,1
8919,false,19,2021-05-13,1
8920,false,13,2021-06-08,1
8921,false,15,2021-05-23,1
8923,false,26,2021-04-28,1
8924,false,18,2021-06-24,1
8925,false,16,2021-06-26,1
8927,false,16,2021-06-26,1
8938,false,19,2021-06-16,1
8942,false,18,2021-05-06,1
8943,false,15,2021-05-17,1
8944,false,29,2021-06-22,1
8946,false,19,2021-06-16,1
8949,false,15,2021-05-23,1
8950,false,14,2021-06-07,1
8954,false,24,2021-04-30,1
8955,false,17,2021-06-18,1
8956,false,19,2021-06-09,1
8959,false,15,2021-05-30,1
8960,false,11,2021-07-15,1
8962,false,23,2021-05-01,1
8966,false,17,2021-05-21,1
8972,false,17,2021-05-07,1
8975,false,17,2021-05-15,1
8978,false,18,2021-05-27,1
8980,false,17,2021-06-19,1
8981,false,19,2021-05-05,1
8986,false,17,2021-06-18,1
8987,false,16,2021-06-12,1
8989,false,18,2021-06-24,1
8993,false,18,2021-06-03,1
8995,false,20,2021-05-04,1
8996,false,16,2021-07-03,1
8999,false,12,2021-06-09,1
9000,false,14,2021-05-10,1
9002,false,17,2021-05-21,1
9005,false,19,2021-05-05,1
9006,false,15,2021-05-23,1
9007,false,15,2021-05-17,1
9008,false,12,2021-05-20,1
9010,false,18,2021-06-10,1
9011,false,17,2021-06-04,1
9013,false,19,2021-06-02,1
9014,false,18,2021-06-03,1
9015,false,17,2021-06-18,1
9016,false,17,2021-07-16,1
9019,false,15,2021-05-23,1
9025,false,17,2021-05-21,1
9026,false,17,2021-05-21,1
9028,false,15,2021-06-20,1
9029,false,18,2021-06-10,1
9034,false,13,2021-05-25,1
9038,false,15,2021-07-18,1
9040,false,14,2021-05-25,1
9045,false,13,2021-06-29,1
9046,false,11,2021-07-15,1
9047,false,11,2021-07-15,1
9050,false,16,2021-07-03,1
9051,false,16,2021-07-03,1
9052,false,15,2021-06-20,1
9054,false,17,2021-07-09,1
9055,false,18,2021-07-01,1
9060,false,17,2021-06-25,1
9064,false,11,2021-07-08,1
9065,false,13,2021-06-29,1
9066,false,15,2021-07-04,1
9071,false,14,2021-06-15,1
9072,false,15,2021-06-27,1
9074,false,15,2021-06-27,1
9075,false,17,2021-07-02,1
9080,false,13,2021-06-29,1
9083,false,17,2021-07-02,1
9085,false,17,2021-07-02,1
9090,false,19,2021-06-16,1
9092,false,19,2021-07-14,1
9093,false,16,2021-07-03,1
9098,false,17,2021-07-02,1
9099,false,16,2021-07-10,1
9138,false,13,2021-07-06,1
9150,false,16,2021-07-10,1
27854,false,17,2021-05-28,3
36170,false,15,2021-07-04,3
36237,false,14,2021-06-07,3
36311,false,13,2021-07-13,3
42101,false,17,2021-05-14,3
42130,false,21,2021-06-01,3
42242,false,7,2021-05-10,3
42276,false,6,2021-06-01,3
42430,false,6,2021-05-11,3
42437,false,4,2021-06-03,3
42446,false,5,2021-05-19,3
42486,false,5,2021-05-28,3
42773,false,5,2021-05-05,3
43055,false,9,2021-05-22,3
43118,false,9,2021-06-12,3
43201,false,12,2021-06-09,3
43242,false,5,2021-05-28,3
44469,false,5,2021-05-26,2
44701,false,16,2021-07-10,2
